version:v1.0
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in [accountEnabled] Required,First name [givenName],Last name [surname]
Administrador General,admin@polirediucen.onmicrosoft.com,Temp#2026Admin!,No,Administrador,General
Nicolás Montaña,nicolas@polirediucen.onmicrosoft.com,Temp#2026Nicolas!,No,Nicolás,Montaña
María González,maria@polirediucen.onmicrosoft.com,Temp#2026Maria!,No,María,González
Juan Pérez,juan@polirediucen.onmicrosoft.com,Temp#2026Juan!,No,Juan,Pérez
Camila Soto,camila@polirediucen.onmicrosoft.com,Temp#2026Camila!,No,Camila,Soto
Pedro Ramírez,pedro@polirediucen.onmicrosoft.com,Temp#2026Pedro!,No,Pedro,Ramírez
Valentina Fuentes,valentina@polirediucen.onmicrosoft.com,Temp#2026Valentina!,No,Valentina,Fuentes
Sebastián Morales,sebastian@polirediucen.onmicrosoft.com,Temp#2026Sebastian!,No,Sebastián,Morales
Fernanda Rojas,fernanda@polirediucen.onmicrosoft.com,Temp#2026Fernanda!,No,Fernanda,Rojas
Diego Herrera,diego@polirediucen.onmicrosoft.com,Temp#2026Diego!,No,Diego,Herrera
Sofía Castillo,sofia@polirediucen.onmicrosoft.com,Temp#2026Sofia!,No,Sofía,Castillo
Usuario Bloqueado,bloqueado@polirediucen.onmicrosoft.com,Temp#2026Bloqueado!,Yes,Usuario,Bloqueado
